latitude,longitude,bikes_available
23.01906,120.21088,7
22.98762,120.16773,10
23.01973,120.20136,6
22.90555,120.27456,8
23.01282,120.20197,9
23.18357,120.26091,7
22.96732,120.19681,4
23.06184,120.21676,5
23.10512,120.29135,19
22.97394,120.18501,5
23.03181,120.26662,4
23.00529,120.17903,9
23.04391,120.24204,7
23.22972,120.26345,6
23.01631,120.20152,8
22.93732,120.22319,10
23.00202,120.1581,13
22.98844,120.20793,16
23.27843,120.31192,6
23.08009,120.28816,3
23.1013,120.35557,7
23.02176,120.25917,15
23.32624,120.40506,4
23.05033,120.18278,11
22.95614,120.24721,11
22.96353,120.33732,12
23.01564,120.20524,0
23.17286,120.17937,5
22.96384,120.28782,8
22.96011,120.32401,6
23.06309,120.23621,6
23.00185,120.22652,8
22.9738,120.2224,7
22.97014,120.21092,3
23.30807,120.30114,14
23.17904,120.24511,3
23.3005,120.30327,3
23.02968,120.18895,5
22.98537,120.22246,4
23.05002,120.17947,10
23.13693,120.28891,7
22.99684,120.22565,1
22.98372,120.21946,16
23.03627,120.23742,10
22.99679,120.21186,28
22.99746,120.16761,1
23.01247,120.19815,8
23.01458,120.23412,6
23.04481,120.24971,11
23.02569,120.23394,4
22.92345,120.28877,4
23.00137,120.18126,10
23.08897,120.35868,3
22.99138,120.15929,3
22.96724,120.19456,10
23.17269,120.48714,7
23.29966,120.30722,8
23.23557,120.26426,4
22.99641,120.19273,3
23.11406,120.28186,7
22.99716,120.21366,20
22.99757,120.16055,15
23.25931,120.10826,9
22.99735,120.27733,8
22.96742,120.18786,11
23.31203,120.32249,2
22.99115,120.21043,7
22.96829,120.22764,5
23.31523,120.26743,7
23.21733,120.32439,6
22.98852,120.18956,9
22.98117,120.21054,5
23.04563,120.21042,11
23.23186,120.34362,9
22.98763,120.21558,6
22.99954,120.21851,1
23.06756,120.22298,13
23.08314,120.30046,1
23.03158,120.20919,4
22.97585,120.21945,8
23.18076,120.23282,5
23.31116,120.32483,3
22.99841,120.19767,1
22.96406,120.36442,4
23.35358,120.41473,5
22.99566,120.22389,5
22.9786,120.1953,4
23.32247,120.40173,5
22.9328,120.2306,20
23.00858,120.2362,4
22.96173,120.32527,5
22.91633,120.22362,15
23.191615,120.270459,3
23.12011,120.46604,13
23.31245,120.32344,4
22.99437,120.16768,18
22.99945,120.15803,18
23.10189,120.28391,2
23.02954,120.30652,2
23.00562,120.18531,11
23.01415,120.20666,10
22.99101,120.17097,23
22.96476,120.35994,1
22.97715,120.24336,0
23.04079,120.19286,10
23.038615,120.254131,23
22.96355,120.32617,14
23.03387,120.26425,8
22.99121,120.2556,20
22.92215,120.29143,7
22.96656,120.22598,5
22.99301,120.18457,10
23.00328,120.21734,15
23.03669,120.20613,4
23.00372,120.17547,9
23.31509,120.31373,11
22.99111,120.20392,14
22.99715,120.20639,3
22.96475,120.22765,15
22.91883,120.23155,8
22.96338,120.25161,8
23.00181,120.19939,8
23.18734,120.26373,5
23.18229,120.2482,8
23.11518,120.30942,16
22.92106,120.23499,2
22.97224,120.19543,5
22.97641,120.21456,9
22.96549,120.21606,2
23.31069,120.28218,6
23.16405,120.17571,10
23.0192,120.1987,6
22.99048,120.14755,10
23.01972,120.22432,9
22.98869,120.21947,10
22.97559,120.22794,10
23.30855,120.29552,7
23.31767,120.32662,11
22.90449,120.25289,3
22.99461,120.19644,2
22.98143,120.15642,20
23.037,120.20407,7
23.29833,120.29886,8
23.01807,120.23441,14
23.26591,120.1236,6
22.97435,120.24154,21
22.98066,120.20353,13
23.31955,120.26859,6
23.01947,120.20324,11
23.00792,120.23165,7
23.01982,120.23757,12
23.06551,120.19775,7
23.04158,120.23719,5
23.0364,120.47912,3
